doi,q1_climate_neutrality,q1_comment,q2_comment,q2_region,q3_comment,q3_sector,q3_sector_comment,q4_comment,q4_method
10.1371/journal.pone.0299730,no,,,yes,,yes,,,yes
10.1399/NuL.2022.01.02,no,,,yes,,yes,,"Literature-based review with critical analysis, not quantitative modeling or scenario processes",no
10.13209/j.0479-8023.2025.060,no,,,yes,,yes,,,yes
10.5846/stxb202201120117,no,"The abstract models partial achievement of carbon neutrality (18-34% realization degree by 2060 under best scenarios), not an actual climate-neutral pathway or configuration.",,yes,,yes,,,yes
10.1016/j.heliyon.2023.e19660,no,,,yes,,yes,,,no
10.1038/s41598-025-94201-z,no,,,yes,,yes,,,no
10.1016/B978-0-443-22399-0.00005-0,no,,,no,,yes,,,no
10.1038/s41467-025-60652-1,yes,,,yes,,yes,,,yes
10.1525/cse.2022.1552208,no,,,yes,,yes,,,yes
10.3303/CET23106115,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2023.168781,no,,,yes,,yes,,,yes
10.1016/B978-0-443-13985-7.00002-6,no,,,no,,yes,,,no
10.1007/s00502-024-01235-8,unclear,"Title mentions 'climate-neutral Austria', and abstract discusses CCS/CCU for climate goals with technology-based scenarios to 2050, but doesn't explicitly confirm that a climate-neutral pathway is actually modeled or assessed.",,yes,,yes,,,yes
10.5846/stxb202205041230,no,"The abstract is a review of estimation approaches and models for rooftop solar potential, not a specific pathway or system configuration that achieves climate neutrality.",No specific region is targeted; the review is general and applicable across different regions.,no,Energy sector is clearly targeted (electricity supply via solar photovoltaic).,yes,,This is a methodological review of existing approaches rather than a study that applies quantitative modeling to generate climate-neutral pathways.,no
10.1021/acs.iecr.3c02405,no,,,yes,,yes,,,yes
10.1016/j.resconrec.2022.106392,no,,,yes,,yes,,,no
10.1007/978-3-031-69457-8_4,no,,,yes,,yes,,,no
10.1016/j.resconrec.2024.107971,yes,,,yes,,yes,,,yes
10.1088/1742-6596/3036/1/012008,no,,"Urban context is mentioned but no specific city, country, or region is identified.",unclear,,yes,,,no
10.1016/j.jenvman.2023.118588,no,"The abstract models declining emissions but projects 312.65 Mt CO2e remaining by 2050, not zero. The paper explicitly states it is 'difficult' to achieve carbon neutrality using forest sinks alone, indicating the pathway does not achieve actual climate neutrality.",,yes,,yes,,,yes
10.1080/09593330.2022.2075795,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2023.169386,yes,,,yes,,yes,,,yes
10.3390/pr13124047,no,,,yes,,yes,,,no
10.1134/S0040601524700605,no,,,yes,,yes,,,yes
10.1080/14693062.2026.2624246,yes,,,yes,,yes,,,yes
10.1038/s41893-025-01556-2,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2025.125619,yes,,,yes,,yes,,,yes
10.1016/j.esr.2022.100836,no,The abstract critiques the roadmaps as unrealistic and unable to achieve carbon neutrality due to unsustainable biomass demands; it does not present a viable climate-neutral pathway.,,yes,,yes,,,yes
10.1016/j.apenergy.2023.120673,yes,,,yes,,yes,,,yes
10.1088/1755-1315/703/1/012037,no,"Abstract mentions Helsinki's goal to become carbon neutral by 2035 and discusses geothermal/ground heat as potential solutions, but does not present a complete pathway or system configuration that is actually assessed/modeled to be climate-neutral.",,yes,,yes,,,yes
10.1007/s12665-021-09762-9,yes,,,yes,,yes,,,yes
10.1016/j.rser.2024.114945,yes,,,yes,,yes,,,yes
10.1016/j.envres.2023.116881,no,,,yes,,yes,,,yes
10.1016/j.energy.2024.133507,no,,,no,,yes,,,yes
10.3390/ijerph182413284,no,,,yes,,yes,,"Study uses quantitative methods (DEA, random forest regression) but applies them to analyze historical relationships, not to model or generate climate-neutral pathways.",no
10.1038/s43016-025-01163-6,no,,,yes,,yes,,,yes
10.1038/s41467-021-27520-0,no,,,no,,yes,,,yes
10.1016/j.jenvman.2026.128628,no,,,yes,,yes,,,no
10.1016/j.jastp.2025.106419,no,,,yes,,yes,,,no
10.1016/j.heliyon.2024.e24944,no,,,yes,,yes,,"Study applies quantitative methods (SBM-DEA, Tobit regression) to measure and analyze agricultural eco-efficiency, but does not generate scenarios or model pathways toward climate neutrality.",no
10.3390/su16114454,no,,,yes,,yes,,,yes
10.1021/acs.est.5c09918,yes,,,yes,,yes,,,yes
10.1016/j.energy.2022.123797,yes,,,yes,,yes,,,yes
10.1016/j.enconman.2025.120759,yes,,,yes,,yes,,,yes
10.1016/j.envres.2026.123715,no,,,yes,,yes,,,yes
10.1016/j.wen.2024.05.001,yes,,,yes,,yes,,,yes
10.1016/j.apenergy.2022.119842,no,,,yes,,yes,,,yes
10.46855/energy-proceedings-9383,yes,,,yes,,yes,,,yes
10.1016/j.jclepro.2025.147363,yes,,,yes,,yes,,,yes
10.1016/j.rser.2024.114865,no,,,yes,,yes,,,no
10.1111/cwe.12554,no,,,yes,,yes,,,yes
10.1016/S0140-6736(23)02466-2,no,,,no,,no,,"The abstract mentions modelling studies are included, but the focus is on health co-benefits of mitigation, not on generating climate-neutral pathways or systems through quantitative modelling.",unclear
10.3390/en16227608,yes,,,yes,,yes,,,yes
10.1016/j.ecoinf.2024.102692,unclear,"The study forecasts a pathway toward carbon neutrality by 2060 but concludes there is still a surplus of ~10.48 million tons, so full climate neutrality is not actually achieved in any modeled scenario.",,yes,,yes,,,yes
10.1016/j.apenergy.2021.117996,yes,,,yes,,yes,,,yes
10.1016/B978-0-12-822112-9.00009-6,no,,,yes,,yes,,"Abstract discusses existing use of LCA models by companies to track emissions, but does not present quantitative modeling or scenario processes to generate climate-neutral pathways.",no
10.3390/ijerph192316149,no,"The abstract analyzes factors affecting green/low-carbon land-use efficiency in Chinese cities, but does not describe or propose an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.procir.2025.01.094,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2025.124516,no,,,yes,,yes,,,yes
10.1016/j.renene.2024.120117,no,"The abstract assesses GM-PV's contribution to climate neutrality, but does not present a complete pathway or system configuration achieving climate neutrality itself. It is a component analysis for siting optimization, not a full decarbonization pathway.",,yes,,yes,,,yes
10.3390/f17010060,no,,,yes,,yes,,"Study uses threshold regression modeling to analyze emissions relationships, not to model pathways toward climate neutrality.",no
10.1016/j.apenergy.2015.01.006,yes,,,no,,yes,,,yes
10.3390/land13081147,unclear,"The paper simulates a low-carbon development scenario and states it 'aids in achieving carbon neutrality', but does not explicitly confirm that a carbon-neutral state is actually reached or modelled.",,yes,,yes,,,yes
10.1016/j.agsy.2024.104168,no,,,yes,,yes,,,yes
10.1016/j.energy.2026.140115,no,,,yes,,yes,,,yes
10.1080/10962247.2025.2587009,no,,,yes,,yes,,,no
10.1016/j.resconrec.2022.106276,unclear,"Abstract discusses decarbonization pathways but doesn't explicitly state they achieve climate neutrality, net zero, or carbon neutral status.",,yes,,yes,,,yes
10.1016/j.egycc.2023.100117,yes,,,yes,,yes,,,yes
10.4271/2021-01-0039,yes,,,no,,yes,,"This is a training product describing methodologies to achieve carbon neutrality (SAFs, operational efficiency, forest credits), not a quantitative modeling or scenario study with assessed results.",no
10.3390/en17194842,yes,,,yes,,yes,,,yes
10.1016/j.apenergy.2023.121540,no,,,yes,,yes,,,yes
10.1016/j.scitotenv.2024.177284,no,,,yes,,yes,,,yes
10.3390/su17020640,no,,,yes,,yes,,,yes
10.1109/AHPCAI57455.2022.10087813,yes,,,yes,,yes,,,yes
10.1016/j.apenergy.2024.124443,no,The abstract explicitly states the system 'remains a carbon source after optimization' with total emissions of 155.4–165.3 × 108 kg CO2-eq. It achieves emission reduction but not climate neutrality.,,yes,,yes,,,yes
10.1016/j.grets.2026.100350,yes,,,yes,,yes,,Abstract mentions 'recent evidence indicates' and discusses carbon offsets but does not explicitly state whether quantitative modeling or scenario analysis was employed to assess the climate-neutral pathways.,unclear
10.1371/journal.pone.0303582,no,,,yes,,yes,,,yes
10.1016/B978-0-443-13985-7.00007-5,no,,,no,,yes,,,no
10.1016/j.jclepro.2022.130441,unclear,"Abstract discusses achieving climate neutrality and assesses AD's GHG mitigation efficacy through LCA scenarios, but does not present a specific pathway or configuration that IS climate-neutral—rather, it compares alternatives' effectiveness.",,yes,,yes,,,yes
10.3390/su12072740,yes,,,yes,,yes,,,yes
10.1007/s10668-024-05598-y,no,,,no,,yes,,,no
10.1016/j.apenergy.2021.117510,yes,,,yes,,yes,,,yes
10.1007/s13399-025-06932-8,no,,,yes,,yes,,,yes
10.1016/j.egycc.2024.100150,yes,,,yes,,yes,,,yes
10.1080/17583004.2018.1536168,yes,,,yes,,yes,,,yes
10.1039/d5ee01853f,unclear,"The title mentions 'carbon neutrality' as a pathway goal, but the abstract only quantifies CO2 reductions (16.9 Gt) without explicitly stating the pathway achieves carbon/climate neutrality.",,yes,,yes,,,yes
10.1073/pnas.2306517121,yes,,,yes,,yes,,,yes
10.17660/ActaHortic.2023.1369.15,no,,,yes,,yes,,,yes
10.1016/j.scitotenv.2022.153407,no,"Abstract analyzes carbon footprint and proposes reduction strategies, but does not present an actual assessed/modeled pathway or system configuration that achieves climate neutrality.",,yes,,yes,,,yes
10.1016/j.jclepro.2022.133629,yes,,,yes,,yes,,,yes
10.61435/ijred.2026.62064,no,"The LCS achieves a 62.9% GHG reduction by 2050, not climate-neutrality. While the abstract mentions national targets for carbon neutrality by 2050, the modeled pathway itself does not achieve climate-neutral status.",,yes,,yes,,,yes
10.1016/j.joule.2019.03.006,no,"The abstract discusses the need for policy instruments and mentions deep decarbonization, but does not provide or assess an actual climate-neutral pathway or system configuration.","No specific spatial area (country, city, region, etc.) is targeted in the abstract analysis.",no,The abstract discusses policy instruments in general without targeting specific sectors.,no,,This is a commentary piece that calls for future research but does not present any quantitative modeling or scenario analysis.,no
10.1016/j.scitotenv.2023.167589,no,,,no,,yes,,,yes
10.1016/j.ecolmodel.2025.111266,no,,,yes,,yes,,,yes
10.1371/journal.pone.0301836,no,,,yes,,yes,,,no
10.31181/dmame8220251568,yes,,,yes,,yes,,,yes
10.1115/ES2024-132130,yes,,,yes,,yes,,,yes
10.5846/stxb202108082170,no,,,yes,,yes,,,yes
10.1109/TGRS.2025.3647625,no,,,yes,,yes,,,no
10.1016/j.buildenv.2025.113004,yes,,,yes,,yes,,,yes
10.1111/gcb.16984,yes,,,yes,,yes,,,yes
10.1007/978-3-031-82407-4_11,unclear,"The paper assesses LCA impacts of scenarios from the Portuguese Carbon Neutrality 2050 Roadmap, but the abstract does not confirm that the modelled scenarios actually achieve carbon/climate neutrality — only that climate change indicators decrease.",,yes,,yes,,,yes
10.1016/j.jclepro.2025.146754,no,"The paper proposes low-carbon optimization and achieves 7.41% emissions intensity reduction, but does not demonstrate that the resulting system configuration is climate-neutral or net-zero. It addresses China's carbon neutrality goals but shows improvements, not achievement of neutrality.",,yes,,yes,,,yes
10.3390/f15122225,no,,,yes,,yes,,,yes
10.14719/pst.9043,no,,,yes,,yes,,,no
10.1109/ENERGYCON53164.2022.9830169,yes,,,yes,,yes,,,yes
10.11870/cjlyzyyhj202410015,yes,,,yes,,yes,,,yes
10.11975/j.issn.1002-6819.202304170,no,Abstract models carbon reduction scenarios but resulting net carbon emissions remain positive (67.42% and 38.16% of 2020 baseline in 2030-2060). Pathway studied but climate neutrality not achieved.,,yes,,yes,,,yes
10.1016/j.energy.2026.140067,yes,,,yes,,yes,,,yes
10.2478/rtuect-2023-0073,yes,,,yes,,yes,,,yes
10.3389/fclim.2024.1353939,yes,,,yes,,yes,,,yes
10.1016/B978-0-443-36426-6.00019-8,no,,,no,,yes,,,yes
10.1016/j.resourpol.2023.104397,unclear,"The study references China's carbon neutrality goal and suggests a transition path, but does not model or assess an actually achieved climate-neutral pathway.",,yes,,yes,,,yes
10.1016/j.tust.2023.105533,no,"The pathway achieves only 7% carbon offset from building industry emissions, not climate neutrality. While carbon neutrality is mentioned as an aspirational goal, the actual modeled results do not achieve it.",,yes,,yes,,,yes
10.1007/s44246-024-00168-3,no,,,no,,no,,"Study uses quantitative machine learning modeling, but not to generate climate-neutral pathways or systems. It predicts biochar adsorption capacity for dye removal.",no
